multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad,imagen,patente_imagen,ratio
3,WU341A,1932-01-01,00:00,107.0,60,AV LIBERTADOR,R03,PAGADA,47.0,44.0,,,
5,BX55DOG,1932-01-01,00:00,94.0,60,AV SIEMPRE VIVA,,ERROR,34.0,31.0,,,
8,BP717,1932-01-01,08:01,70.0,60,AV SIEMPRE VIVA,R01,PAGADA,10.0,7.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/e1120bfe48f85c1b_patente.jpg,BP717,1.0
10,OUTSTDN,1932-01-01,14:01,71.0,40,AV LIBERTADOR,R02,APELADA,31.0,29.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/1ca1155083156d72_patente.jpg,OUTSTDN,1.0
13,GE1466,1932-01-01,18:01,75.0,40,AV LIBERTADOR,,IMPAGA,35.0,33.0,,,
17,5777770,1932-01-01,00:00,93.0,40,AV SIEMPRE VIVA,R02,APELADA,53.0,51.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,5777770,1.0
21,BHRP770,1932-01-01,08:01,71.0,60,RUTA 9,R03,PAGADA,11.0,8.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,1.0
22,RFH373,1932-01-01,00:00,121.0,80,AV LIBERTADOR,R01,IMPAGA,41.0,37.0,,,
24,XIIUME,1932-01-01,08:01,52.0,40,AV SIEMPRE VIVA,R03,IMPAGA,12.0,10.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XIIUME,1.0
26,HF58HXP,1932-01-01,14:01,62.0,40,RUTA 9,,APELADA,22.0,20.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,0.8571
31,M431ZW,1932-01-01,14:01,123.0,60,RUTA 9,R03,PAGADA,63.0,60.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,0.8333
35,GE1466,2020-11-22,08:02,67.0,40,AV LIBERTADOR,R03,ERROR,27.0,25.0,,,
36,J1S1,1932-01-01,18:01,85.0,40,AV LIBERTADOR,,APELADA,45.0,43.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,1.0
